method,K,trial,melody,coherence_mlsp,chroma_cos,clap,n_updates
topk_dc,5,test-p08-zigzag-s0,zigzag,0.2746478873239437,0.41157856583595276,0.3413736820220947,5
uniform,5,test-p09-ascending-s0,ascending,0.21005917159763313,0.35213544964790344,0.23906050622463226,5
topk_dc,5,test-p09-ascending-s0,ascending,0.2598187311178248,0.37175309658050537,0.2991008460521698,5
uniform,5,test-p09-descending-s0,descending,0.21084337349397592,0.3485855162143707,0.22900763154029846,5
topk_dc,5,test-p09-descending-s0,descending,0.25225225225225223,0.3455198407173157,0.2380848228931427,5
uniform,5,test-p09-alternating-s0,alternating,0.08108108108108109,0.538894534111023,0.23191073536872864,5
topk_dc,5,test-p09-alternating-s0,alternating,0.08053691275167785,0.5341349840164185,0.2514994740486145,5
uniform,5,test-p09-pedal-s0,pedal,0.048484848484848485,0.581181526184082,0.23598462343215942,5
topk_dc,5,test-p09-pedal-s0,pedal,0.041666666666666664,0.5152880549430847,0.1769009232521057,5
uniform,5,test-p09-zigzag-s0,zigzag,0.09171597633136094,0.4547708332538605,0.2336561679840088,5
topk_dc,5,test-p09-zigzag-s0,zigzag,0.12759643916913946,0.45301076769828796,0.3211134672164917,5
uniform,10,test-p00-ascending-s0,ascending,0.16080402010050251,0.2507157325744629,0.4489578306674957,10
topk_dc,10,test-p00-ascending-s0,ascending,0.4506172839506173,0.43774688243865967,0.39962345361709595,10
uniform,10,test-p00-descending-s0,descending,0.14832535885167464,0.3069702386856079,0.44132059812545776,10
topk_dc,10,test-p00-descending-s0,descending,0.34408602150537637,0.5082265734672546,0.4706334173679352,10
uniform,10,test-p00-alternating-s0,alternating,0.15135135135135136,0.3138432502746582,0.48047614097595215,10
topk_dc,10,test-p00-alternating-s0,alternating,0.3775933609958506,0.5865286588668823,0.397210955619812,10
uniform,10,test-p00-pedal-s0,pedal,0.7679324894514767,0.6688920855522156,0.4774606227874756,10
topk_dc,10,test-p00-pedal-s0,pedal,0.8311258278145696,0.7876499891281128,0.39557433128356934,10
uniform,10,test-p00-zigzag-s0,zigzag,0.2647058823529412,0.35858508944511414,0.4335240125656128,10
topk_dc,10,test-p00-zigzag-s0,zigzag,0.3843537414965986,0.484707236289978,0.415073037147522,10
uniform,10,test-p01-ascending-s0,ascending,0.22018348623853212,0.3759062886238098,0.5258454084396362,10
topk_dc,10,test-p01-ascending-s0,ascending,0.2762237762237762,0.40682318806648254,0.4907154440879822,10
uniform,10,test-p01-descending-s0,descending,0.30303030303030304,0.42190271615982056,0.49937617778778076,10
topk_dc,10,test-p01-descending-s0,descending,0.4666666666666667,0.47000637650489807,0.5248093605041504,10
uniform,10,test-p01-alternating-s0,alternating,0.4032258064516129,0.5005480051040649,0.4992790222167969,10
topk_dc,10,test-p01-alternating-s0,alternating,0.3464285714285714,0.47225022315979004,0.5164071321487427,10
uniform,10,test-p01-pedal-s0,pedal,0.4606741573033708,0.5658841729164124,0.4827573895454407,10
topk_dc,10,test-p01-pedal-s0,pedal,0.6328671328671329,0.615551769733429,0.5408581495285034,10
uniform,10,test-p01-zigzag-s0,zigzag,0.1753846153846154,0.34457334876060486,0.5155463218688965,10
topk_dc,10,test-p01-zigzag-s0,zigzag,0.11641791044776119,0.3252353370189667,0.5306116938591003,10
uniform,10,test-p02-ascending-s0,ascending,0.2847457627118644,0.4182750880718231,0.2781570553779602,10
topk_dc,10,test-p02-ascending-s0,ascending,0.44223107569721115,0.6450263261795044,0.25092828273773193,10
uniform,10,test-p02-descending-s0,descending,0.22268907563025211,0.3547944724559784,0.2803470492362976,10
topk_dc,10,test-p02-descending-s0,descending,0.5787545787545788,0.6773208379745483,0.26675838232040405,10
uniform,10,test-p02-alternating-s0,alternating,0.15816326530612246,0.34918126463890076,0.2850889563560486,10
