method,K,coh,coh_sd,clap,chroma,n
topk_dc,5,0.2577847295254203,0.19937732134367517,0.3571161445975304,0.4091348400712013,50
topk_dc,10,0.378423515659196,0.21790288357085522,0.36217785567045213,0.513987797498703,50
topk_dc,15,0.48001840846738014,0.2532011398196782,0.36828342974185946,0.6000592225790023,50
topk_dc,25,0.5597038589073673,0.25364716358417955,0.37302308052778244,0.6726452231407165,50
uniform,5,0.16204395004453626,0.12586988525671347,0.35124139577150343,0.3220149874687195,50
uniform,10,0.24130676297248935,0.18541258102328065,0.3610778158903122,0.40062167674303056,50
uniform,15,0.2998520724621276,0.18880627375578976,0.35654684275388715,0.46675611317157745,50
uniform,25,0.399759544926318,0.2127956756541995,0.3516631218791008,0.5670868128538131,50
