trial,prompt_id,melody,seed,position,R_at,coherence_mlsp,coherence_w2s,chroma_cos,clap,logmel_l1,coherence_firstnote,bce0,n_updates,runtime_s
dev-p02-alternating-s1,2,alternating,1,-1,,0.07725321888412018,0.06060606060606061,0.25601938366889954,0.1629790961742401,0.0,0.0,0.3180080056190491,0,
dev-p02-alternating-s1,2,alternating,1,26,0.3112470805644989,0.057692307692307696,0.1076923076923077,0.2644087076187134,0.15464504063129425,0.09602366387844086,0.0,0.3033599257469177,3,3.192676544189453
dev-p02-pedal-s0,2,pedal,0,-1,,0.0,0.0,0.1052340716123581,0.22458577156066895,0.0,0.0,0.6287102699279785,0,
dev-p02-pedal-s0,2,pedal,0,26,0.2782004177570343,0.0,0.0,0.09742292016744614,0.17330601811408997,0.10196936875581741,0.0,0.645437479019165,3,3.2039718627929688
dev-p02-pedal-s1,2,pedal,1,-1,,0.0,0.0,0.11466880142688751,0.1629790961742401,0.0,0.0,0.43418779969215393,0,
dev-p02-pedal-s1,2,pedal,1,26,0.3112470805644989,0.0,0.0,0.11725576221942902,0.1665550172328949,0.03820459544658661,0.0,0.4278953969478607,3,3.188600540161133
dev-p02-zigzag-s0,2,zigzag,0,-1,,0.0,0.0,0.22149381041526794,0.22458577156066895,0.0,0.0,0.40315791964530945,0,
dev-p02-zigzag-s0,2,zigzag,0,26,0.2782004177570343,0.0,0.03571428571428571,0.22971758246421814,0.16678175330162048,0.08967515826225281,0.011904761904761904,0.4173641800880432,3,3.197413682937622
dev-p02-zigzag-s1,2,zigzag,1,-1,,0.03260869565217391,0.025974025974025976,0.21947374939918518,0.1629790961742401,0.0,0.0,0.3912551701068878,0,
dev-p02-zigzag-s1,2,zigzag,1,26,0.3112470805644989,0.05241935483870968,0.039473684210526314,0.22681832313537598,0.15353712439537048,0.10520711541175842,0.0,0.3847292363643646,3,3.2035040855407715
dev-p03-ascending-s0,3,ascending,0,-1,,0.15458937198067632,0.1282051282051282,0.40008488297462463,0.07564455270767212,0.0,0.4358974358974359,0.2796100080013275,0,
dev-p03-ascending-s0,3,ascending,0,26,0.2714715898036957,0.21721311475409835,0.18421052631578946,0.4026314914226532,0.09225945919752121,0.6645014882087708,0.5,0.2826499044895172,3,3.191380739212036
dev-p03-ascending-s1,3,ascending,1,-1,,0.028985507246376812,0.04,0.2768811583518982,0.29145538806915283,0.0,0.09333333333333334,0.2601553201675415,0,
dev-p03-ascending-s1,3,ascending,1,26,0.3070105314254761,0.036231884057971016,0.03896103896103896,0.27617281675338745,0.29461202025413513,0.10461541265249252,0.09090909090909091,0.26218846440315247,3,3.189816951751709
dev-p03-descending-s0,3,descending,0,-1,,0.21739130434782608,0.2692307692307692,0.3671533465385437,0.07564455270767212,0.0,0.4358974358974359,0.3007151186466217,0,
dev-p03-descending-s0,3,descending,0,26,0.2714715898036957,0.26859504132231404,0.2727272727272727,0.3630434274673462,0.07864736020565033,0.09014422446489334,0.44155844155844154,0.30467870831489563,3,3.1849775314331055
dev-p03-descending-s1,3,descending,1,-1,,0.2427536231884058,0.22666666666666666,0.34898969531059265,0.29145538806915283,0.0,0.09333333333333334,0.2585916519165039,0,
dev-p03-descending-s1,3,descending,1,26,0.3070105314254761,0.24074074074074073,0.2328767123287671,0.34720027446746826,0.2919326424598694,0.09737677127122879,0.0958904109589041,0.2595415413379669,3,3.203643798828125
dev-p03-alternating-s0,3,alternating,0,-1,,0.4,0.26865671641791045,0.4518216550350189,0.07564455270767212,0.0,0.4626865671641791,0.26243844628334045,0,
dev-p03-alternating-s0,3,alternating,0,26,0.2714715898036957,0.32286995515695066,0.24193548387096775,0.4518473744392395,0.07294084131717682,0.10995377600193024,0.43548387096774194,0.2637420892715454,3,3.1745524406433105
dev-p03-alternating-s1,3,alternating,1,-1,,0.2301255230125523,0.21212121212121213,0.4193447530269623,0.29145538806915283,0.0,0.10606060606060606,0.1661386787891388,0,
dev-p03-alternating-s1,3,alternating,1,26,0.3070105314254761,0.2384937238493724,0.22727272727272727,0.41947880387306213,0.29394763708114624,0.03640402853488922,0.10606060606060606,0.1667834371328354,3,3.168977975845337
dev-p03-pedal-s0,3,pedal,0,-1,,0.15942028985507245,0.16666666666666666,0.37582260370254517,0.07564455270767212,0.0,0.01282051282051282,0.33407196402549744,0,
dev-p03-pedal-s0,3,pedal,0,26,0.2714715898036957,0.13333333333333333,0.09090909090909091,0.3717139959335327,0.0753912702202797,0.2161446362733841,0.0,0.3417637050151825,3,3.1629533767700195
dev-p03-pedal-s1,3,pedal,1,-1,,0.12318840579710146,0.12,0.33435800671577454,0.29145538806915283,0.0,0.10666666666666667,0.2018250674009323,0,
dev-p03-pedal-s1,3,pedal,1,26,0.3070105314254761,0.12830188679245283,0.12,0.3382401168346405,0.287784218788147,0.1237984225153923,0.10666666666666667,0.19693052768707275,3,3.169342041015625
dev-p03-zigzag-s0,3,zigzag,0,-1,,0.15458937198067632,0.11538461538461539,0.39129310846328735,0.07564455270767212,0.0,0.4358974358974359,0.2742569148540497,0,
dev-p03-zigzag-s0,3,zigzag,0,26,0.2714715898036957,0.1461187214611872,0.0875,0.37980759143829346,0.08518804609775543,0.652097761631012,0.4,0.2817523181438446,3,3.1730289459228516
dev-p03-zigzag-s1,3,zigzag,1,-1,,0.13768115942028986,0.10666666666666667,0.3365492522716522,0.29145538806915283,0.0,0.09333333333333334,0.20905306935310364,0,
dev-p03-zigzag-s1,3,zigzag,1,26,0.3070105314254761,0.14388489208633093,0.10666666666666667,0.33888205885887146,0.2914600372314453,0.06977783143520355,0.08,0.20911893248558044,3,3.1669259071350098
dev-p04-ascending-s0,4,ascending,0,-1,,0.3469387755102041,0.18181818181818182,0.32844406366348267,0.30435556173324585,0.0,0.0,0.31298497319221497,0,
dev-p04-ascending-s0,4,ascending,0,26,0.2713146209716797,0.35172413793103446,0.17857142857142858,0.3312544524669647,0.2995092272758484,0.025192467495799065,0.0,0.31158655881881714,3,3.177273750305176
dev-p04-ascending-s1,4,ascending,1,-1,,0.1396103896103896,0.13253012048192772,0.24277372658252716,0.2474614828824997,0.0,0.0,0.4366230368614197,0,
dev-p04-ascending-s1,4,ascending,1,26,0.3033428192138672,0.1360759493670886,0.13253012048192772,0.24302922189235687,0.25814682245254517,0.04698505625128746,0.0,0.439843088388443,3,3.171193838119507
dev-p04-descending-s0,4,descending,0,-1,,0.0,0.05454545454545454,0.33010122179985046,0.30435556173324585,0.0,0.0,0.3263431191444397,0,
dev-p04-descending-s0,4,descending,0,26,0.2713146209716797,0.0,0.017857142857142856,0.34726399183273315,0.2934936583042145,0.05627594515681267,0.0,0.3229900002479553,3,3.173811435699463
dev-p04-descending-s1,4,descending,1,-1,,0.1396103896103896,0.13253012048192772,0.29179900884628296,0.2474614828824997,0.0,0.0,0.41782572865486145,0,
dev-p04-descending-s1,4,descending,1,26,0.3033428192138672,0.14006514657980457,0.13580246913580246,0.2889244854450226,0.25147271156311035,0.03131214901804924,0.0,0.41703805327415466,3,3.178884506225586
dev-p04-alternating-s0,4,alternating,0,-1,,0.047619047619047616,0.09090909090909091,0.3230336606502533,0.30435556173324585,0.0,0.0,0.3250405490398407,0,
dev-p04-alternating-s0,4,alternating,0,26,0.2713146209716797,0.14375,0.1724137931034483,0.34543830156326294,0.3216763436794281,0.08828435093164444,0.0,0.3207983374595642,3,3.166184663772583
dev-p04-alternating-s1,4,alternating,1,-1,,0.24390243902439024,0.24,0.350002259016037,0.2474614828824997,0.0,0.0,0.307638019323349,0,
dev-p04-alternating-s1,4,alternating,1,26,0.3033428192138672,0.24390243902439024,0.24,0.3481954038143158,0.25643467903137207,0.03474448248744011,0.0,0.30892616510391235,3,3.189464807510376
dev-p04-pedal-s0,4,pedal,0,-1,,0.0,0.0,0.3560393154621124,0.30435556173324585,0.0,0.0,0.39371150732040405,0,
dev-p04-pedal-s0,4,pedal,0,26,0.2713146209716797,0.0,0.0,0.3601561188697815,0.3008824586868286,0.06901252269744873,0.0,0.3802315890789032,3,3.204939603805542
dev-p04-pedal-s1,4,pedal,1,-1,,0.0,0.0,0.17881838977336884,0.2474614828824997,0.0,0.0,0.40526700019836426,0,
dev-p04-pedal-s1,4,pedal,1,26,0.3033428192138672,0.0,0.0,0.1755376011133194,0.2541247010231018,0.062045712023973465,0.0,0.4080750644207001,3,3.2003695964813232
dev-p04-zigzag-s0,4,zigzag,0,-1,,0.2925170068027211,0.12727272727272726,0.3690858781337738,0.30435556173324585,0.0,0.0,0.33725854754447937,0,
dev-p04-zigzag-s0,4,zigzag,0,26,0.2713146209716797,0.25903614457831325,0.12962962962962962,0.36630678176879883,0.2825202941894531,0.042817045003175735,0.0,0.3448445796966553,3,3.19756817817688
dev-p04-zigzag-s1,4,zigzag,1,-1,,0.2077922077922078,0.2289156626506024,0.3254162669181824,0.2474614828824997,0.0,0.0,0.3472115099430084,0,
dev-p04-zigzag-s1,4,zigzag,1,26,0.3033428192138672,0.20454545454545456,0.20987654320987653,0.3274032175540924,0.26302164793014526,0.0801692008972168,0.0,0.34739142656326294,3,3.203274965286255
