trial,method,split,prompt_id,melody,seed,coherence_mlsp,voiced_cov,coherence_w2s,chroma_cos,clap,coherence_firstnote,n_updates,first_step,last_step,mean_lam,runtime_s,peak_vram_gb
test-p02-alternating-s0,mlsp,test,2,alternating,0,0.18867924528301888,0.8803986710963455,0.16901408450704225,0.4290081262588501,0.29396313428878784,0.4507042253521127,15,20,48,0.05000000000000002,3.2380471229553223,6.104211807250977
test-p02-alternating-s1,mlsp,test,2,alternating,1,0.2888086642599278,0.920265780730897,0.3972602739726027,0.4132578670978546,0.295284628868103,0.8904109589041096,15,20,48,0.05000000000000002,3.2351677417755127,6.109949111938477
test-p02-alternating-s2,mlsp,test,2,alternating,2,0.20224719101123595,0.8870431893687708,0.1791044776119403,0.34652888774871826,0.25462600588798523,0.6119402985074627,15,20,48,0.05000000000000002,3.24229097366333,6.104700088500977
test-p02-pedal-s0,mlsp,test,2,pedal,0,0.5,1.0,0.5,0.4874909818172455,0.13895942270755768,1.0,15,20,48,0.05000000000000002,3.2415976524353027,6.110437393188477
test-p02-pedal-s1,mlsp,test,2,pedal,1,0.5,1.0,0.5,0.4979640245437622,0.10399676859378815,1.0,15,20,48,0.05000000000000002,3.2280259132385254,6.115686416625977
test-p02-pedal-s2,mlsp,test,2,pedal,2,0.4804804804804805,0.9680232558139535,0.4819277108433735,0.4641537666320801,0.10803944617509842,1.0,15,20,48,0.05000000000000002,3.240105390548706,6.121912002563477
test-p02-zigzag-s0,mlsp,test,2,zigzag,0,0.1611842105263158,0.8837209302325582,0.14285714285714285,0.3452444076538086,0.2812626361846924,0.40476190476190477,15,20,48,0.05000000000000002,3.2406105995178223,6.110437393188477
test-p02-zigzag-s1,mlsp,test,2,zigzag,1,0.196875,0.9302325581395349,0.15476190476190477,0.30793315172195435,0.27700895071029663,0.9047619047619048,15,20,48,0.05000000000000002,3.2308895587921143,6.115686416625977
test-p02-zigzag-s2,mlsp,test,2,zigzag,2,0.23225806451612904,0.9011627906976745,0.23076923076923078,0.32332876324653625,0.2550598978996277,0.6666666666666666,15,20,48,0.05000000000000002,3.2257652282714844,6.121423721313477
test-p03-ascending-s0,mlsp,test,3,ascending,0,0.2155688622754491,0.9709302325581395,0.21428571428571427,0.2921200394630432,0.4883151948451996,0.9642857142857143,15,20,48,0.05000000000000002,3.244300603866577,6.116174697875977
test-p03-ascending-s1,mlsp,test,3,ascending,1,0.24714828897338403,0.7645348837209303,0.2597402597402597,0.2981114685535431,0.5262055397033691,0.948051948051948,15,20,48,0.05000000000000002,3.222951650619507,6.121912002563477
test-p03-ascending-s2,mlsp,test,3,ascending,2,0.6,0.2616279069767442,0.25,0.3178330957889557,0.4791412353515625,0.7142857142857143,15,20,48,0.05000000000000002,3.215885639190674,6.127161026000977
test-p03-descending-s0,mlsp,test,3,descending,0,0.21621621621621623,0.9680232558139535,0.20481927710843373,0.27346813678741455,0.5013571977615356,0.9518072289156626,15,20,48,0.05000000000000002,3.23004150390625,6.121912002563477
test-p03-descending-s1,mlsp,test,3,descending,1,0.22413793103448276,0.8430232558139535,0.2692307692307692,0.2977456748485565,0.5211461186408997,0.9487179487179487,15,20,48,0.05000000000000002,3.228829860687256,6.127649307250977
test-p03-descending-s2,mlsp,test,3,descending,2,0.5222222222222223,0.2616279069767442,0.3392857142857143,0.3612883687019348,0.4813045263290405,0.6785714285714286,15,20,48,0.05000000000000002,3.2313852310180664,6.132898330688477
test-p03-alternating-s0,mlsp,test,3,alternating,0,0.410958904109589,0.9700996677740864,0.4189189189189189,0.47262078523635864,0.48963645100593567,0.9864864864864865,15,20,48,0.05000000000000002,3.2309489250183105,6.138635635375977
test-p03-alternating-s1,mlsp,test,3,alternating,1,0.431924882629108,0.707641196013289,0.43548387096774194,0.470243364572525,0.5171518921852112,0.9516129032258065,15,20,48,0.05000000000000002,3.2522666454315186,6.127649307250977
test-p03-alternating-s2,mlsp,test,3,alternating,2,0.8533333333333334,0.24916943521594684,0.3541666666666667,0.43162378668785095,0.4860380291938782,0.6666666666666666,15,20,48,0.05000000000000002,3.2428956031799316,6.133386611938477
test-p03-pedal-s0,mlsp,test,3,pedal,0,0.16170212765957448,0.6831395348837209,0.3023255813953488,0.5791910886764526,0.5268076062202454,0.08139534883720931,15,20,48,0.05000000000000002,3.21992564201355,6.138635635375977
test-p03-pedal-s1,mlsp,test,3,pedal,1,0.39057239057239057,0.8633720930232558,0.4074074074074074,0.5192193984985352,0.45837128162384033,0.18518518518518517,15,20,48,0.05000000000000002,3.2256040573120117,6.133386611938477
test-p03-pedal-s2,mlsp,test,3,pedal,2,0.4606741573033708,0.7761627906976745,0.4642857142857143,0.48564326763153076,0.5298272371292114,0.9404761904761905,15,20,48,0.05000000000000002,3.2195773124694824,6.139123916625977
test-p03-zigzag-s0,mlsp,test,3,zigzag,0,0.24397590361445784,0.9651162790697675,0.24096385542168675,0.2968485951423645,0.5096365809440613,0.9518072289156626,15,20,48,0.05000000000000002,3.210752248764038,6.144372940063477
test-p03-zigzag-s1,mlsp,test,3,zigzag,1,0.1695501730103806,0.8401162790697675,0.21794871794871795,0.37498921155929565,0.5225832462310791,0.9743589743589743,15,20,48,0.05000000000000002,3.195091724395752,6.138635635375977
test-p03-zigzag-s2,mlsp,test,3,zigzag,2,0.2553191489361702,0.27325581395348836,0.21818181818181817,0.3197244107723236,0.4821440577507019,0.7090909090909091,15,20,48,0.05000000000000002,3.211109161376953,6.144861221313477
