method,n,fad_clap_maestro,fad_clap_sao
sao,15,1.0811996839571325,0.0
early,15,1.0094704235153324,0.06221211186786435
mid,15,0.9946864025262583,0.31164323322231424
late,15,1.0166434124792008,0.15686251150122554
uniform,15,1.0238733515038096,0.15104357110148792
mlsp,15,1.017547451512761,0.20884263865051855
rapg_cal_f1,15,1.012241889959525,0.15391734003795443
rapg_cal_dc,15,0.9888871312835685,0.32036008796360904
rapg_on,15,0.9973478591709716,0.15175888161209028
topk_dc_const,15,0.9852124530925203,0.3166830677517898
