method,alternating,ascending,descending,pedal,zigzag
early,0.192,0.117,0.131,0.214,0.175
late,0.308,0.254,0.282,0.437,0.295
mid,0.298,0.359,0.35,0.73,0.382
mlsp,0.346,0.256,0.294,0.607,0.31
rapg_cal_dc,0.327,0.395,0.372,0.725,0.408
rapg_cal_f1,0.297,0.25,0.279,0.436,0.287
rapg_on,0.36,0.283,0.272,0.538,0.304
sao,0.145,0.112,0.099,0.133,0.142
topk_dc_const,0.317,0.389,0.366,0.716,0.381
uniform,0.288,0.2,0.223,0.439,0.266
