method,K,trial,melody,coherence_mlsp,chroma_cos,clap,n_updates
uniform,5,test-p04-descending-s0,descending,0.13069908814589665,0.24773134291172028,,5
late,5,test-p04-descending-s0,descending,0.13069908814589665,0.2544283866882324,,5
rapg_cal_dc,5,test-p04-descending-s0,descending,0.11585365853658537,0.2378072291612625,,5
uniform,5,test-p04-alternating-s0,alternating,0.0,0.2924814224243164,,5
late,5,test-p04-alternating-s0,alternating,0.0,0.25962767004966736,,5
rapg_cal_dc,5,test-p04-alternating-s0,alternating,0.0,0.27944448590278625,,5
uniform,5,test-p04-pedal-s0,pedal,0.0,0.23738470673561096,,5
late,5,test-p04-pedal-s0,pedal,0.0,0.19315050542354584,,5
rapg_cal_dc,5,test-p04-pedal-s0,pedal,0.0,0.23176723718643188,,5
uniform,5,test-p04-zigzag-s0,zigzag,0.0,0.2221827656030655,,5
late,5,test-p04-zigzag-s0,zigzag,0.0,0.19029708206653595,,5
rapg_cal_dc,5,test-p04-zigzag-s0,zigzag,0.0,0.21398399770259857,,5
