method,n,coherence_mlsp,coherence_mlsp_lo,coherence_mlsp_hi,coherence_w2s,coherence_w2s_lo,coherence_w2s_hi,chroma_cos,chroma_cos_lo,chroma_cos_hi,clap,clap_lo,clap_hi,coherence_firstnote,coherence_firstnote_lo,coherence_firstnote_hi,n_updates,n_updates_lo,n_updates_hi,runtime_s,runtime_s_lo,runtime_s_hi,p_coherence_mlsp_vs_mlsp,d_coherence_mlsp_vs_mlsp,p_clap_vs_mlsp,d_clap_vs_mlsp,p_coherence_mlsp_vs_sao,d_coherence_mlsp_vs_sao,p_clap_vs_sao,d_clap_vs_sao,p_coherence_mlsp_vs_mlsp_holm,p_clap_vs_mlsp_holm,p_coherence_mlsp_vs_sao_holm,p_clap_vs_sao_holm
sao,50,0.09388147665841809,0.06285589389428921,0.12884792202034973,0.09567046551966886,0.06875149965874497,0.12421441666355769,0.22525302037596703,0.19678191282600163,0.25730878218263387,,,,0.048162435543542534,0.01844669449917127,0.09126896679186189,0.0,0.0,0.0,1.4389534997940063,1.4229032739400864,1.4705333499908448,8.02500876772779e-08,-0.1831757883240599,,,,,,,5.617506137409453e-07,,,
early,50,0.43978900142826743,0.3782266185674998,0.5023432702770062,0.18711115975148726,0.14474373708854296,0.23187376672580237,0.4738249212503433,0.4268409783691168,0.520560005672276,,,,0.2539019552333498,0.1753005101723778,0.34019383898295413,15.0,15.0,15.0,1.4574919652938843,1.454478855252266,1.462782214164734,0.0001362867761987019,0.1627317364457895,,,8.881784197001252e-15,0.3459075247698495,,,0.0005451471047948075,,6.217248937900877e-14,
mid,49,0.40294199018029747,0.3355231082232646,0.47162272875505146,0.16605492245227763,0.12477708899952546,0.2092177354425247,0.4461362057924271,0.40196146999299526,0.4927560193762183,,,,0.21556013636687937,0.1425605418969296,0.29551102819321146,15.0,15.0,15.0,1.4543227291107177,1.4538200491666793,1.4548020040988923,0.0010666092879461075,0.12034984128422548,,,2.7012176190962593e-09,0.30714456501864634,,,0.002133218575892215,,9.881517385902173e-09,
late,49,0.18149536975382494,0.12887063990891437,0.23873633768908328,0.10821541139620493,0.08026082107590392,0.1374438418589267,0.33944603383541105,0.3110668354257941,0.36983820600062606,,,,0.07276746211791141,0.030791529315919552,0.12415010258367119,15.0,15.0,15.0,1.4549547195434571,1.4544543465375899,1.4554642926454544,0.003950479079076572,-0.0887810435667491,,,3.6754465978299967e-07,0.09191362883541429,,,0.003950479079076572,,3.6754465978299967e-07,
uniform,50,0.4340089179417943,0.3708953831321163,0.49763600926236284,0.17546631156697895,0.13261844144072046,0.22317050415359427,0.49064707934856416,0.4518268928676844,0.5288212094232438,,,,0.2712876803159742,0.1839066293138328,0.3669293393481321,15.0,15.0,15.0,1.4546351289749146,1.4542748540639878,1.4549991607666015,2.0810681753857807e-05,0.15695165295931632,,,4.440892098500626e-14,0.34012744128337624,,,0.00012486409052314684,,2.6645352591003757e-13,
mlsp,50,0.277057264982478,0.22006475489881464,0.33507572120312534,0.15882319833892314,0.1190728745724823,0.2023208762037181,0.39566275775432586,0.353415876545012,0.43933113583177325,,,,0.1654942578456186,0.10346866400664648,0.2383086761855949,15.0,15.0,15.0,1.454727840423584,1.4543659073114394,1.4550785611867905,,,,,8.02500876772779e-08,0.1831757883240599,,,,,1.605001753545558e-07,
rapg_cal_dc,50,0.4655250956584835,0.39165844197292243,0.5397787284181566,0.18397125563369446,0.13607110060955527,0.23638221374186608,0.4876676085591316,0.44147949510067697,0.5365719119980931,,,,0.28103079815085513,0.19460392939370547,0.3709271894881585,15.0,15.0,15.0,1.454528293609619,1.4537680423259736,1.4551662594079973,3.457260659445183e-05,0.18846783067600537,,,2.470379346475543e-09,0.37164361900006526,,,0.00017286303297225913,,9.881517385902173e-09,
topk_dc_const,50,0.4422831924339406,0.36865368173604035,0.5137425238207003,0.17822422745905375,0.135101012053308,0.22304157057586296,0.47625882357358934,0.4281388681679964,0.5268463696390391,,,,0.27967297524402346,0.19416279668933534,0.36998416726444316,15.0,15.0,15.0,1.4548298501968384,1.4544785503149031,1.455168962597847,0.0006569354295550442,0.16522592745146267,,,4.9116266609416925e-12,0.34840171577552254,,,0.0019708062886651325,,2.4558133304708463e-11,
