trial,method,split,prompt_id,melody,seed,coherence_mlsp,voiced_cov,coherence_w2s,chroma_cos,clap,coherence_firstnote,n_updates,first_step,last_step,mean_lam,runtime_s,peak_vram_gb
test-p00-ascending-s0,sao,test,0,ascending,0,0.0,0.5145348837209303,0.0,0.1384434103965759,0.50544673204422,0.0,0,-1,-1,0.0,2.2066447734832764,5.716501712799072
test-p00-ascending-s0,early,test,0,ascending,0,0.2693726937269373,0.7877906976744186,0.0,0.4195771217346191,0.4778449535369873,0.0,15,0,14,0.05,1.475351095199585,5.717966556549072
test-p00-ascending-s0,mid,test,0,ascending,0,0.271551724137931,0.6744186046511628,0.0,0.4439717233181,0.406913697719574,0.1379310344827586,15,18,32,0.05,1.4528043270111084,5.718454837799072
test-p00-ascending-s0,late,test,0,ascending,0,0.1213872832369942,0.502906976744186,0.0,0.2490141242742538,0.48121026158332825,0.0,15,35,49,0.05,1.4548790454864502,5.717966556549072
test-p00-ascending-s0,uniform,test,0,ascending,0,0.3468468468468468,0.6453488372093024,0.0,0.5075335502624512,0.45639568567276,0.024390243902439,15,0,49,0.05,1.4557478427886963,5.718454837799072
test-p00-ascending-s0,mlsp,test,0,ascending,0,0.3076923076923077,0.4156976744186046,0.0,0.257289856672287,0.4763479232788086,0.0,15,20,48,0.05,1.4538493156433103,5.717966556549072
test-p00-ascending-s0,rapg_cal_dc,test,0,ascending,0,0.2585034013605442,0.8546511627906976,0.0232558139534883,0.3573267757892608,0.5158030986785889,0.0,15,4,18,0.1946856363942595,1.4557030200958252,5.718454837799072
test-p00-ascending-s0,topk_dc_const,test,0,ascending,0,0.25,0.872093023255814,0.0232558139534883,0.3898131251335144,0.5071766376495361,0.0,15,4,18,0.05,1.4543306827545166,5.717966556549072
test-p00-descending-s0,sao,test,0,descending,0,0.0,0.5145348837209303,0.0975609756097561,0.1544416546821594,0.50544673204422,0.0,0,-1,-1,0.0,1.424217939376831,5.718454837799072
test-p00-descending-s0,early,test,0,descending,0,0.3197492163009404,0.9273255813953488,0.0930232558139534,0.3938255608081817,0.4665912389755249,0.0,15,0,14,0.05,1.4562029838562012,5.717966556549072
test-p00-descending-s0,mid,test,0,descending,0,0.1712328767123287,0.8488372093023255,0.0,0.337673932313919,0.44511333107948303,0.1,15,18,32,0.05,1.456300973892212,5.718454837799072
test-p00-descending-s0,late,test,0,descending,0,0.0,0.4825581395348837,0.1219512195121951,0.2665897011756897,0.4998403489589691,0.0,15,35,49,0.05,1.4563138484954834,5.717966556549072
test-p00-descending-s0,uniform,test,0,descending,0,0.3812709030100334,0.8691860465116279,0.0,0.47852823138237,0.46377819776535034,0.1538461538461538,15,0,49,0.05,1.4552924633026123,5.718454837799072
test-p00-descending-s0,mlsp,test,0,descending,0,0.0357142857142857,0.5697674418604651,0.0263157894736842,0.2157458364963531,0.4928632974624634,0.0263157894736842,15,20,48,0.05,1.4541244506835938,5.717966556549072
test-p00-descending-s0,rapg_cal_dc,test,0,descending,0,0.3274647887323944,0.8255813953488372,0.0930232558139534,0.3893220722675323,0.4386734962463379,0.0,15,4,18,0.1916165461758181,1.4562132358551023,5.718454837799072
test-p00-descending-s0,topk_dc_const,test,0,descending,0,0.2208201892744479,0.9215116279069768,0.0697674418604651,0.3957577645778656,0.4346928000450134,0.0232558139534883,15,4,18,0.05,1.4553592205047607,5.717966556549072
test-p00-alternating-s0,sao,test,0,alternating,0,0.0,0.5880398671096345,0.0571428571428571,0.1415932178497314,0.50544673204422,0.0,0,-1,-1,0.0,1.4227707386016846,5.718454837799072
test-p00-alternating-s0,early,test,0,alternating,0,0.2958333333333333,0.7973421926910299,0.1621621621621621,0.4011059105396271,0.5026371479034424,0.1891891891891892,15,0,14,0.05,1.4536354541778564,5.717966556549072
test-p00-alternating-s0,mid,test,0,alternating,0,0.1434599156118143,0.7873754152823921,0.0588235294117647,0.4054905772209167,0.4771201014518738,0.2058823529411764,15,18,32,0.05,1.4506466388702393,5.718454837799072
test-p00-alternating-s0,late,test,0,alternating,0,0.0466666666666666,0.4983388704318937,0.0606060606060606,0.2375027984380722,0.4827954173088074,0.0,15,35,49,0.05,1.454308032989502,5.717966556549072
test-p00-alternating-s0,uniform,test,0,alternating,0,0.1491228070175438,0.7574750830564784,0.0285714285714285,0.4103806614875793,0.4201287031173706,0.2285714285714285,15,0,49,0.05,1.4541053771972656,5.718454837799072
test-p00-alternating-s0,mlsp,test,0,alternating,0,0.3197278911564626,0.4883720930232558,0.09375,0.2698723673820495,0.5166839361190796,0.0,15,20,48,0.05,1.4524061679840088,5.717966556549072
test-p00-alternating-s0,rapg_cal_dc,test,0,alternating,0,0.3185185185185185,0.8970099667774086,0.0,0.430005818605423,0.518573522567749,0.1538461538461538,15,4,18,0.1756507863175741,1.4540975093841553,5.718454837799072
test-p00-alternating-s0,topk_dc_const,test,0,alternating,0,0.2645914396887159,0.8538205980066446,0.1944444444444444,0.4155275523662567,0.5226452350616455,0.2777777777777778,15,4,18,0.05,1.453993558883667,5.717966556549072
test-p00-pedal-s0,sao,test,0,pedal,0,0.0338983050847457,0.5145348837209303,0.048780487804878,0.1601347923278808,0.50544673204422,0.048780487804878,0,-1,-1,0.0,1.4314148426055908,5.718454837799072
test-p00-pedal-s0,early,test,0,pedal,0,0.6022727272727273,0.7674418604651163,0.4705882352941176,0.6538149118423462,0.3223491907119751,0.088235294117647,15,0,14,0.05,1.453256130218506,5.717966556549072
test-p00-pedal-s0,mid,test,0,pedal,0,0.3423076923076923,0.7558139534883721,0.2619047619047619,0.552559494972229,0.43517550826072693,0.5238095238095238,15,18,32,0.05,1.4511761665344238,5.718454837799072
test-p00-pedal-s0,late,test,0,pedal,0,0.073170731707317,0.4767441860465116,0.073170731707317,0.3200472593307495,0.4917667508125305,0.0975609756097561,15,35,49,0.05,1.4522900581359863,5.717966556549072
test-p00-pedal-s0,uniform,test,0,pedal,0,0.5924170616113744,0.6133720930232558,0.3928571428571428,0.6672416925430298,0.39639556407928467,0.8928571428571429,15,0,49,0.05,1.4521067142486572,5.718454837799072
test-p00-pedal-s0,mlsp,test,0,pedal,0,0.1923076923076923,0.6046511627906976,0.3428571428571428,0.3711609840393066,0.4155370593070984,0.2857142857142857,15,20,48,0.05,1.4533188343048096,5.717966556549072
test-p00-pedal-s0,rapg_cal_dc,test,0,pedal,0,0.7035714285714286,0.813953488372093,0.7441860465116279,0.7761232256889343,0.3341681957244873,0.4186046511627907,15,4,18,0.2042746362689425,1.4535787105560305,5.718454837799072
