method,K,n,coh,coh_lo,coh_hi,clap,clap_lo,clap_hi
uniform,5,50,0.16204395004453623,0.12860502760307468,0.19671763852863985,0.35124139577150343,0.3222015313208103,0.3790528368279337
uniform,10,50,0.24130676297248932,0.1927603757683657,0.29273126479468453,0.3610778158903122,0.33247008600085975,0.39181338939070703
uniform,15,50,0.2998520724621276,0.25125242170638434,0.35595145522076993,0.35654684275388715,0.32347216450423,0.3873556606993079
uniform,25,50,0.39975954492631793,0.34188720669522704,0.4623552432876037,0.3516631218791008,0.3161925732344389,0.38543989028781656
topk_dc,5,50,0.2577847295254202,0.2074221622247496,0.31667146186609807,0.3571161445975304,0.3246204753220081,0.3896110769584775
topk_dc,10,50,0.378423515659196,0.3177055319623521,0.43989162255039865,0.36217785567045213,0.32912741956114766,0.39659657065570353
topk_dc,15,50,0.48001840846738014,0.4113683160480833,0.5516266844871321,0.36828342974185946,0.3350105313062668,0.3981721017509699
topk_dc,25,50,0.5597038589073672,0.4919099929167943,0.629278854197635,0.37302308052778244,0.3447565702199936,0.40104909412562845
