variant,row,f1,pos_recall,top1_acc,bce,R_entropy,R_margin,R_maxprob,agree_final,mean_p,f1_sem,pos_recall_sem,top1_acc_sem,bce_sem,R_entropy_sem,R_margin_sem,R_maxprob_sem,agree_final_sem,mean_p_sem,progress,sigma,rms,sig_rel
gauss_proxy,0,0.03016159818265218,0.020387576388659227,0.06929750001965583,0.41824616491794586,0.28594641894102096,0.14842516615986823,0.37927559614181516,0.9255253479262651,0.08731682240962982,0.005623441117222432,0.0039313678073087605,0.00735507232102658,0.005767630175529091,0.0030007179966152213,0.002164005377200602,0.005318488485227704,0.005377519580725422,0.0014131280494192986,0.02,431.08311157226564,430.5292901611328,409.6208228406286
gauss_proxy,1,0.04386017105101439,0.030686910308329134,0.07008831898377277,0.416289284825325,0.2774616801738739,0.1532204705476761,0.390982306599617,0.9222744494984633,0.0922346305847168,0.006507989507404235,0.00488630871891245,0.006783556353033324,0.006290728273044987,0.0020074299554819694,0.0024782017920277626,0.004122339401245742,0.005368673000686227,0.0008030788252435476,0.04,371.83885192871094,369.9981414794922,352.029455511139
gauss_proxy,2,0.04280758013558194,0.02961744123569441,0.07844329004649259,0.41389709651470186,0.28074400186538695,0.15730323404073715,0.3938799273967743,0.9217849047707724,0.09189915746450424,0.005048816201482054,0.003479371919441987,0.0065874307452692465,0.006302227781712951,0.0018803999262869211,0.0027461911046347343,0.0043309862208447646,0.005187043063386952,0.0013669854680211245,0.06,320.9083917236328,318.0710192871094,302.62299661467193
gauss_proxy,3,0.03538071144370468,0.025137003323913772,0.08607005592902629,0.4184768217802048,0.28019227474927905,0.14926867663860321,0.3949578642845154,0.9218010806796764,0.09399779066443444,0.005278072884839309,0.004000052125899301,0.00795493759192746,0.007187357272584615,0.0028989284299259536,0.002203817812400422,0.00439294681217245,0.005496102121830975,0.0015296381208434664,0.08,277.1237518310547,273.03994140625,259.7786063632353
gauss_proxy,4,0.04377137069638208,0.030102625168335884,0.07936000350207431,0.4121139824390411,0.28520475924015043,0.152035174369812,0.38113834261894225,0.9243024607575749,0.08839563563466073,0.0048471924752185236,0.003355765891299099,0.005819549101139569,0.004975466778127244,0.001866279662127849,0.00354893376624381,0.006236098017568072,0.0052352652389172005,0.0015048642406189246,0.1,239.48102569580078,234.64336639404297,223.24584799908436
gauss_proxy,5,0.04326937880128034,0.0303846317466389,0.06796226187921793,0.41642917931079865,0.27312369406223297,0.1401974694430828,0.39006358742713926,0.9205263132734153,0.09492718324065208,0.004259825455061752,0.003082304373570022,0.006345315462710135,0.005308534643646856,0.001652072718574982,0.0024094257954802695,0.005377866761641701,0.005366766535606006,0.0015161388194693567,0.12,207.11739196777344,201.5529641723633,191.762130412375
gauss_proxy,6,0.04582913461059472,0.033746985173693206,0.07962298452866663,0.419845831990242,0.27540526270866394,0.15019688308238982,0.41783961057662966,0.9152221342540646,0.10149039581418037,0.005651116481986781,0.004335895822218849,0.006618345039427134,0.006735509806130384,0.001802848575593316,0.0025103701334378723,0.00493271954340846,0.005525373049973598,0.0015545443509023705,0.14,179.29124664306642,173.38167755126952,164.95851904181373
gauss_proxy,7,0.03706840073814924,0.02643830808977024,0.06890729150768005,0.4289917302131653,0.2855846983194351,0.14740450218319892,0.3874428158998489,0.9216996687168623,0.09139927476644516,0.004878996006664863,0.0036072832317556864,0.007490565564419589,0.005597019775890714,0.0025991731701421605,0.0023716481192203667,0.005736383985066505,0.005337084426070394,0.0017548426899576686,0.16,155.3651187133789,149.03628784179688,141.79481457716057
gauss_proxy,8,0.035223808587234215,0.025552059970156447,0.07428578684091977,0.41647502303123474,0.2792728713154793,0.16216751784086228,0.4089016795158386,0.9177815404776528,0.09561814576387405,0.0043144546028675585,0.00314511315285496,0.005994653847414494,0.005131841885069506,0.002304792790118711,0.003043163439013015,0.005577927158426035,0.005304785843780864,0.0010758526251442892,0.18,134.79117309570313,128.19299362182616,121.9633768528201
gauss_proxy,9,0.03892086033428173,0.028887023341935793,0.06750215921374603,0.4423546290397644,0.29432392716407774,0.15749010622501372,0.415080925822258,0.9146293992683971,0.096332705616951,0.005488224332155646,0.004198458184606675,0.006392692502338516,0.0069273221658613555,0.0022627689387748734,0.0030999528601250493,0.006500767598107648,0.0052448753802313485,0.0019221827359709985,0.2,117.09850021362304,110.1713882446289,104.81598467871721
gauss_proxy,10,0.031154178952134726,0.021926465078130532,0.06914381916378644,0.4166796636581421,0.2845850747823715,0.14741237014532088,0.396580827832222,0.9207123778208905,0.09360143721103668,0.0045131991865608855,0.0032348586160400898,0.005409822182108026,0.004988274944470694,0.002672402402777983,0.0024021181998678514,0.005450325905203213,0.005943031629439961,0.0014648930532245184,0.22,101.88236236572266,94.65337631225586,90.05060384582222
gauss_proxy,11,0.0381997118293746,0.026077390224195893,0.07301381036733415,0.4141396450996399,0.2881278932094574,0.16451632887125014,0.4000960648059845,0.9228222855444315,0.09249856635928154,0.004367820023418237,0.0029579640588610653,0.005705185452109755,0.005563395222752857,0.002478811126021087,0.002589940808290695,0.004987415780431917,0.0052918169917099194,0.0010345855436507407,0.24,88.79489013671875,81.38580780029297,77.42657311052024
