f1,precision,recall,pos_recall,top1_acc,bce,row,R_entropy,R_margin,R_maxprob,agree_final,mean_p,run,prompt_id,seed,variant,sigma,rms,sig_rel,progress
0.0,0.0,0.0,0.0,0.09433962264150944,0.3365980088710785,0,0.09469214081764221,0.08607452362775803,0.36842411756515503,0.8569182389937107,0.14866939187049866,dev-p00-s0,0,0,raw,0.9976146221160889,0.9969075322151184,0.6607069739114532,0.02
0.0,0.0,0.0,0.0,0.09433962264150944,0.33664804697036743,1,0.09457992762327194,0.08618662506341934,0.36905986070632935,0.8569182389937107,0.14902275800704956,dev-p00-s0,0,0,raw,0.9971906542778015,0.9964783787727356,0.6597705358835024,0.04
0.0,0.0,0.0,0.0,0.09433962264150944,0.33673426508903503,2,0.09443637728691101,0.08635473996400833,0.3698497414588928,0.8569182389937107,0.14945614337921143,dev-p00-s0,0,0,raw,0.9966917037963867,0.9959725737571716,0.6586656492429283,0.06
0.0,0.0,0.0,0.0,0.09433962264150944,0.3368256688117981,3,0.09428313374519348,0.08652202039957047,0.37075212597846985,0.8569182389937107,0.1499532014131546,dev-p00-s0,0,0,raw,0.99610435962677,0.99538654088974,0.6573838931598531,0.08
0.0,0.0,0.0,0.0,0.09433962264150944,0.3369089663028717,4,0.09409838169813156,0.08672279864549637,0.3717729449272156,0.8569182389937107,0.1505253165960312,dev-p00-s0,0,0,raw,0.9954133629798889,0.9946978092193604,0.6558752825420069,0.1
0.0,0.0,0.0,0.0,0.11320754716981132,0.3370213806629181,5,0.09388577938079834,0.0869135931134224,0.3729749619960785,0.8569182389937107,0.15120941400527954,dev-p00-s0,0,0,raw,0.9946002960205078,0.9938810467720032,0.6540830797351992,0.12
0.0,0.0,0.0,0.0,0.11320754716981132,0.3371373414993286,6,0.09365013986825943,0.08721211552619934,0.3743847608566284,0.8569182389937107,0.15199342370033264,dev-p00-s0,0,0,raw,0.993644118309021,0.9929165840148926,0.6519623424118162,0.14
0.0,0.0,0.0,0.0,0.11320754716981132,0.33723995089530945,7,0.09333545714616776,0.0875854641199112,0.376034140586853,0.8569182389937107,0.15292224287986755,dev-p00-s0,0,0,raw,0.9925198554992676,0.9917959570884705,0.6494921217181858,0.16
0.0,0.0,0.0,0.0,0.11320754716981132,0.33736616373062134,8,0.09299199283123016,0.08799369633197784,0.3779168725013733,0.8569182389937107,0.15398716926574707,dev-p00-s0,0,0,raw,0.9911985993385315,0.9904649257659912,0.646549487998983,0.18
0.0,0.0,0.0,0.0,0.11320754716981132,0.3375307023525238,9,0.09258561581373215,0.08846195042133331,0.3801088035106659,0.8569182389937107,0.15524126589298248,dev-p00-s0,0,0,raw,0.9896462559700012,0.9889228343963623,0.6431283877309035,0.2
0.0,0.0,0.0,0.0,0.11320754716981132,0.3376457989215851,10,0.09220709651708603,0.08903143554925919,0.38260066509246826,0.8569182389937107,0.15661083161830902,dev-p00-s0,0,0,raw,0.987823486328125,0.9870955944061279,0.6390579463581689,0.22
