variant,row,f1,pos_recall,top1_acc,bce,R_entropy,R_margin,R_maxprob,agree_final,mean_p,f1_sem,pos_recall_sem,top1_acc_sem,bce_sem,R_entropy_sem,R_margin_sem,R_maxprob_sem,agree_final_sem,mean_p_sem,progress,sigma,rms,sig_rel
gauss_proxy,0,0.3028248790617372,0.38272464094044595,0.3429780589088012,0.31616329699754714,0.2877997800707817,0.1685622563958168,0.6155884975194931,0.978896240478037,0.15379961401224138,0.02465786959464143,0.03820881341011651,0.024925474277939914,0.006262074836157054,0.011900288825831828,0.006988839742123495,0.02361566795433796,0.002224455587175507,0.006479134002847914,0.02,0.9976146221160889,0.9969495987892151,0.4888283840366499
gauss_proxy,1,0.3065632354498996,0.3863565096079812,0.3572430009267595,0.31298623025417327,0.2877948346734047,0.1689424204826355,0.6137625432014465,0.9779919682156177,0.15334306664764882,0.02610772964152571,0.03923196639307643,0.02673705885303478,0.006572145962189416,0.01231020603381789,0.007785621051575358,0.024308438887959482,0.002278466712818485,0.006549408813033084,0.04,0.9971906542778015,0.9965273618698121,0.4876480111993986
gauss_proxy,2,0.30004289027425474,0.38182815106220036,0.32998539992223963,0.3161478266119957,0.28764625161886215,0.17066238358616828,0.6186007899045944,0.9782816909005906,0.15418599486351015,0.027134113118583183,0.04004230916584636,0.02785804004025208,0.006588681177496002,0.012172893374971436,0.007573951734170766,0.024637230548817245,0.002254946067936217,0.006517071519881581,0.06,0.9966917037963867,0.9960320293903351,0.48622311937368246
gauss_proxy,3,0.3013632704241437,0.38050406556091376,0.33546484819206795,0.3186385706067085,0.28560457900166514,0.1689056760072708,0.6094268882274627,0.9776654074856533,0.1526102292537689,0.026115635411897254,0.03979736987614999,0.02691907151472986,0.006346666819124771,0.01254804530076835,0.008083126666517833,0.02465233307022833,0.0024179403009214396,0.006569689800857393,0.08,0.99610435962677,0.9954486536979675,0.48446802882303963
gauss_proxy,4,0.3089555503233921,0.39074977800628197,0.3489076862006057,0.3165825280547142,0.2879286281764507,0.17083809673786163,0.6205206638574601,0.9778378533896257,0.15529359623789787,0.025618006516685398,0.0390732546361691,0.02682486638320687,0.006661922476653764,0.012196946174704114,0.008283687344576523,0.023967875645477536,0.0024364391661291923,0.006556978445444845,0.1,0.9954133629798889,0.9947639203071594,0.48204501124899507
gauss_proxy,5,0.3057753678665161,0.3893137476121025,0.34545763857460526,0.3167283174395561,0.28650152549147606,0.16943715512752533,0.6193784010410309,0.9783837824446475,0.15553399428725243,0.02576095750487365,0.039760520768425046,0.027619178648301136,0.006509545354362347,0.01249351663243471,0.007090056403625703,0.023794105514407624,0.002403950576898524,0.006584712133017561,0.12,0.9946002960205078,0.9939585638046264,0.47991845131910177
gauss_proxy,6,0.3013573351675929,0.38324367771779494,0.3393484721116625,0.3162941867113113,0.286669000685215,0.16902207762002944,0.6110099276900292,0.9787907702007855,0.15268560379743576,0.025495326008232906,0.039168578624232724,0.026367784256667567,0.006635156276730422,0.012404936698242547,0.007477573101773547,0.024602265296321493,0.002371569853206399,0.006728957203871123,0.14,0.993644118309021,0.9930130052566528,0.47719135844616944
gauss_proxy,7,0.3003395062484568,0.3780977935301827,0.3426808466203575,0.3146946462988853,0.2895699790120125,0.17322392269968986,0.6172519046068191,0.9798417355014477,0.1533449700474739,0.025983829778052026,0.03914356446715947,0.026661627961374227,0.006716988339868421,0.012384224527818182,0.007760176264012833,0.024122113028418293,0.002271217751257887,0.006491711755261338,0.16,0.9925198554992676,0.991898547410965,0.4742261549942047
gauss_proxy,8,0.3111624241756478,0.3899631962883157,0.3338085382013009,0.31630807131528854,0.29188151493668557,0.17231269404292107,0.61182607203722,0.9803904646564847,0.1514481595903635,0.02510589996009403,0.0387432381725484,0.026516854493519443,0.007023067136291415,0.012558438328733167,0.0079075893206138,0.023820454831224903,0.0020660041069240262,0.0066083568157008455,0.18,0.9911985993385315,0.9905908107757568,0.47117848700393045
gauss_proxy,9,0.30729371496686175,0.3902500255141375,0.3374482801435712,0.3136057439446449,0.28946269750595094,0.1733347989618778,0.6178934854269028,0.9796120337489138,0.15407583490014076,0.025382591384930767,0.03919686536716157,0.02724666573546652,0.006561272293837386,0.012260261262372767,0.007530678999240375,0.024198389814285296,0.002224774385579909,0.006673911135233718,0.2,0.9896462559700012,0.9890583193302155,0.46756514141272226
