trial,prompt_id,melody,seed,position,R_at,coherence_mlsp,coherence_w2s,chroma_cos,clap,logmel_l1,coherence_firstnote,bce0,n_updates,runtime_s
dev-p00-zigzag-s1,0,zigzag,1,10,0.0967610701918602,0.16613418530351437,0.18421052631578946,0.20773546397686005,,0.6222202777862549,0.0,0.5621713995933533,3,1.4311370849609375
dev-p01-ascending-s0,1,ascending,0,-1,,0.2345679012345679,0.15789473684210525,0.36607825756073,,0.0,0.0,0.32390230894088745,0,
dev-p01-ascending-s0,1,ascending,0,10,0.09853724390268326,0.0,0.14285714285714285,0.3042103350162506,,1.3356096744537354,0.16666666666666666,0.4062137305736542,3,1.4318819046020508
dev-p01-ascending-s1,1,ascending,1,-1,,0.03103448275862069,0.18181818181818182,0.18080510199069977,,0.0,0.09090909090909091,0.49760860204696655,0,
dev-p01-ascending-s1,1,ascending,1,10,0.10132084786891937,0.0,0.16666666666666666,0.16108500957489014,,0.8590726256370544,0.08333333333333333,0.500140368938446,3,1.4309289455413818
dev-p01-descending-s0,1,descending,0,-1,,0.205761316872428,0.05263157894736842,0.22459197044372559,,0.0,0.0,0.3713666498661041,0,
dev-p01-descending-s0,1,descending,0,10,0.09853724390268326,0.11498257839721254,0.0,0.19198527932167053,,1.3446924686431885,0.07894736842105263,0.3805139362812042,3,1.4321441650390625
dev-p01-descending-s1,1,descending,1,-1,,0.3482758620689655,0.030303030303030304,0.3192707896232605,,0.0,0.09090909090909091,0.44647979736328125,0,
dev-p01-descending-s1,1,descending,1,10,0.10132084786891937,0.24468085106382978,0.02857142857142857,0.2999209761619568,,0.8723387718200684,0.08571428571428572,0.45558440685272217,3,1.4322786331176758
dev-p01-alternating-s0,1,alternating,0,-1,,0.0,0.0,0.2313966304063797,,0.0,0.0,0.3116109073162079,0,
dev-p01-alternating-s0,1,alternating,0,10,0.09853724390268326,0.012875536480686695,0.0,0.2613227665424347,,1.3148391246795654,0.09375,0.310210257768631,3,1.4323067665100098
dev-p01-alternating-s1,1,alternating,1,-1,,0.24096385542168675,0.14814814814814814,0.3061501383781433,,0.0,0.1111111111111111,0.3867877423763275,0,
dev-p01-alternating-s1,1,alternating,1,10,0.10132084786891937,0.11061946902654868,0.13793103448275862,0.2523946762084961,,0.8590073585510254,0.10344827586206896,0.39312100410461426,3,1.432295560836792
dev-p01-pedal-s0,1,pedal,0,-1,,0.0,0.0,0.17471995949745178,,0.0,0.0,0.39109882712364197,0,
