# job=001_diagnose_mlsp_outputs exit=0 duration_s=181 host=stone-ye-PC finished=2026-09-08T21:46:05-04:00
# (last 4000 lines; full log: runner/logs/001_diagnose_mlsp_outputs.full.log on stone-ye-PC)
audio dir: /home/stoneyey/Desktop/MIC/outputs/generated_audio  (189 wavs)
prompt3_ascending_probe_mid.wav                         coh_true=0.253 coh_first=0.365 best_const=0.400(pc3) frac_F=0.291
prompt3_ascending_probe_strong.wav                      coh_true=0.258 coh_first=0.729 best_const=0.729(pc5) frac_F=0.788
prompt3_descending_baseline.wav                         coh_true=0.255 coh_first=0.000 best_const=0.564(pc3) frac_F=0.000
prompt3_descending_combined.wav                         coh_true=0.098 coh_first=0.225 best_const=0.327(pc3) frac_F=0.172
prompt3_descending_itc.wav                              coh_true=0.260 coh_first=0.000 best_const=0.669(pc3) frac_F=0.000
prompt3_descending_probe_high.wav                       coh_true=0.242 coh_first=0.616 best_const=0.616(pc5) frac_F=0.670
prompt3_descending_probe_low.wav                        coh_true=0.097 coh_first=0.173 best_const=0.484(pc3) frac_F=0.133
prompt3_descending_probe_mid.wav                        coh_true=0.134 coh_first=0.301 best_const=0.390(pc3) frac_F=0.223
prompt3_descending_probe_strong.wav                     coh_true=0.254 coh_first=0.746 best_const=0.746(pc5) frac_F=0.797
prompt4_alternating_baseline.wav                        coh_true=0.098 coh_first=0.406 best_const=0.406(pc5) frac_F=0.496
prompt4_alternating_combined.wav                        coh_true=0.472 coh_first=0.790 best_const=0.790(pc5) frac_F=0.849
prompt4_alternating_itc.wav                             coh_true=0.241 coh_first=0.476 best_const=0.476(pc5) frac_F=0.613
prompt4_alternating_probe_high.wav                      coh_true=0.402 coh_first=0.740 best_const=0.740(pc5) frac_F=0.810
prompt4_alternating_probe_low.wav                       coh_true=0.376 coh_first=0.734 best_const=0.734(pc5) frac_F=0.809
prompt4_alternating_probe_mid.wav                       coh_true=0.471 coh_first=0.837 best_const=0.837(pc5) frac_F=0.882
prompt4_alternating_probe_strong.wav                    coh_true=0.429 coh_first=0.788 best_const=0.788(pc5) frac_F=0.837
prompt4_ascending_baseline.wav                          coh_true=0.192 coh_first=0.462 best_const=0.462(pc5) frac_F=0.496
prompt4_ascending_combined.wav                          coh_true=0.304 coh_first=0.770 best_const=0.770(pc5) frac_F=0.807
prompt4_ascending_itc.wav                               coh_true=0.349 coh_first=0.562 best_const=0.562(pc5) frac_F=0.615
prompt4_ascending_probe_high.wav                        coh_true=0.282 coh_first=0.869 best_const=0.869(pc5) frac_F=0.889
prompt4_ascending_probe_low.wav                         coh_true=0.296 coh_first=0.711 best_const=0.711(pc5) frac_F=0.764
prompt4_ascending_probe_mid.wav                         coh_true=0.317 coh_first=0.805 best_const=0.805(pc5) frac_F=0.837
prompt4_ascending_probe_strong.wav                      coh_true=0.229 coh_first=0.908 best_const=0.908(pc5) frac_F=0.923
prompt4_descending_baseline.wav                         coh_true=0.267 coh_first=0.462 best_const=0.462(pc5) frac_F=0.496
prompt4_descending_combined.wav                         coh_true=0.285 coh_first=0.854 best_const=0.854(pc5) frac_F=0.882
prompt4_descending_itc.wav                              coh_true=0.271 coh_first=0.636 best_const=0.636(pc5) frac_F=0.688
prompt4_descending_probe_high.wav                       coh_true=0.235 coh_first=0.854 best_const=0.854(pc5) frac_F=0.878
prompt4_descending_probe_low.wav                        coh_true=0.244 coh_first=0.702 best_const=0.702(pc5) frac_F=0.758
prompt4_descending_probe_mid.wav                        coh_true=0.254 coh_first=0.764 best_const=0.764(pc5) frac_F=0.806
prompt4_descending_probe_strong.wav                     coh_true=0.271 coh_first=0.977 best_const=0.977(pc5) frac_F=0.979
prompt5_alternating_baseline.wav                        coh_true=0.000 coh_first=0.067 best_const=0.346(pc3) frac_F=0.187
prompt5_alternating_combined.wav                        coh_true=0.305 coh_first=0.910 best_const=0.910(pc5) frac_F=0.868
prompt5_alternating_itc.wav                             coh_true=0.000 coh_first=0.092 best_const=0.354(pc3) frac_F=0.064
prompt5_alternating_probe_high.wav                      coh_true=0.304 coh_first=0.706 best_const=0.706(pc5) frac_F=0.506
prompt5_alternating_probe_low.wav                       coh_true=0.128 coh_first=0.184 best_const=0.440(pc1) frac_F=0.126
prompt5_alternating_probe_mid.wav                       coh_true=0.252 coh_first=0.497 best_const=0.497(pc5) frac_F=0.358
prompt5_alternating_probe_strong.wav                    coh_true=0.315 coh_first=0.754 best_const=0.754(pc5) frac_F=0.550
prompt5_ascending_baseline.wav                          coh_true=0.128 coh_first=0.111 best_const=0.313(pc3) frac_F=0.187
prompt5_ascending_combined.wav                          coh_true=0.264 coh_first=0.659 best_const=0.659(pc5) frac_F=0.615
prompt5_ascending_itc.wav                               coh_true=0.035 coh_first=0.080 best_const=0.389(pc3) frac_F=0.064
prompt5_ascending_probe_high.wav                        coh_true=0.181 coh_first=0.383 best_const=0.617(pc1) frac_F=0.296
prompt5_ascending_probe_low.wav                         coh_true=0.248 coh_first=0.152 best_const=0.821(pc1) frac_F=0.118
prompt5_ascending_probe_mid.wav                         coh_true=0.241 coh_first=0.161 best_const=0.836(pc1) frac_F=0.127
prompt5_ascending_probe_strong.wav                      coh_true=0.235 coh_first=0.723 best_const=0.723(pc5) frac_F=0.639
prompt5_descending_baseline.wav                         coh_true=0.054 coh_first=0.111 best_const=0.313(pc3) frac_F=0.187
prompt5_descending_combined.wav                         coh_true=0.105 coh_first=0.326 best_const=0.338(pc1) frac_F=0.257
prompt5_descending_itc.wav                              coh_true=0.059 coh_first=0.130 best_const=0.398(pc4) frac_F=0.203
prompt5_descending_probe_high.wav                       coh_true=0.241 coh_first=0.164 best_const=0.833(pc1) frac_F=0.129
