trial,method,split,prompt_id,melody,seed,coherence_mlsp,voiced_cov,coherence_w2s,chroma_cos,clap,coherence_firstnote,n_updates,first_step,last_step,mean_lam,runtime_s,peak_vram_gb
dev-p00-ascending-s0,sao,dev,0,ascending,0,0.18518518518518517,0.7848837209302325,0.25,0.3001851737499237,0.1522645801305771,0.05,0,-1,-1,0.0,3.5860421657562256,6.047781467437744
dev-p00-ascending-s0,early,dev,0,ascending,0,0.22142857142857142,0.813953488372093,0.24358974358974358,0.3907037675380707,0.10011826455593109,0.14102564102564102,15,0,14,0.20000000000000007,3.2031497955322266,6.053064346313477
dev-p00-ascending-s1,sao,dev,0,ascending,1,0.0,0.8837209302325582,0.1506849315068493,0.21203897893428802,0.19955521821975708,0.0,0,-1,-1,0.0,3.186821460723877,6.058801651000977
dev-p00-ascending-s1,early,dev,0,ascending,1,0.19795221843003413,0.8517441860465116,0.1891891891891892,0.3365519046783447,0.19448821246623993,0.0,15,0,14,0.20000000000000007,3.2201735973358154,6.053064346313477
dev-p00-descending-s0,sao,dev,0,descending,0,0.0,0.7848837209302325,0.016666666666666666,0.2963097095489502,0.1522645801305771,0.05,0,-1,-1,0.0,3.190162181854248,6.058801651000977
dev-p00-descending-s0,early,dev,0,descending,0,0.23148148148148148,0.313953488372093,0.12121212121212122,0.30648624897003174,0.11870323866605759,0.015151515151515152,15,0,14,0.20000000000000007,3.212340831756592,6.064050674438477
dev-p00-descending-s1,sao,dev,0,descending,1,0.1513157894736842,0.8837209302325582,0.0136986301369863,0.3056850731372833,0.19955521821975708,0.0,0,-1,-1,0.0,3.1869454383850098,6.070276260375977
dev-p00-descending-s1,early,dev,0,descending,1,0.14098360655737704,0.8866279069767442,0.14864864864864866,0.29381367564201355,0.18423156440258026,0.0,15,0,14,0.20000000000000007,3.2278833389282227,6.058801651000977
dev-p00-alternating-s0,sao,dev,0,alternating,0,0.03404255319148936,0.7807308970099668,0.018518518518518517,0.2924724519252777,0.1522645801305771,0.05555555555555555,0,-1,-1,0.0,3.193314790725708,6.064050674438477
dev-p00-alternating-s0,early,dev,0,alternating,0,0.030303030303030304,0.8770764119601329,0.08196721311475409,0.2883143424987793,0.14680983126163483,0.0,15,0,14,0.20000000000000007,3.2231762409210205,6.069787979125977
dev-p00-alternating-s1,sao,dev,0,alternating,1,0.2988505747126437,0.867109634551495,0.14516129032258066,0.4581725001335144,0.19955521821975708,0.0,0,-1,-1,0.0,3.208268165588379,6.058801651000977
dev-p00-alternating-s1,early,dev,0,alternating,1,0.14285714285714285,0.7441860465116279,0.0,0.40462860465049744,0.21603703498840332,0.0,15,0,14,0.20000000000000007,3.2194976806640625,6.064538955688477
dev-p00-pedal-s0,sao,dev,0,pedal,0,0.05925925925925926,0.7848837209302325,0.06666666666666667,0.32364240288734436,0.1522645801305771,0.06666666666666667,0,-1,-1,0.0,3.2238640785217285,6.069787979125977
