method,n,coherence_mlsp,coherence_mlsp_lo,coherence_mlsp_hi,coherence_w2s,coherence_w2s_lo,coherence_w2s_hi,chroma_cos,chroma_cos_lo,chroma_cos_hi,clap,clap_lo,clap_hi,coherence_firstnote,coherence_firstnote_lo,coherence_firstnote_hi,n_updates,n_updates_lo,n_updates_hi,runtime_s,runtime_s_lo,runtime_s_hi,p_coherence_mlsp_vs_sao,d_coherence_mlsp_vs_sao,p_clap_vs_sao,d_clap_vs_sao,p_coherence_mlsp_vs_sao_holm,p_clap_vs_sao_holm,fad_clap_maestro,fad_clap_sao
sao,50,0.1189560616021968,0.09112098716949435,0.14833099605810596,0.11116946500982915,0.087460501283084,0.13599373843064175,0.2892406113445759,0.266100303247571,0.31272682973369953,0.2068549484014511,0.18754206562787296,0.22548757082223891,0.05689252755468252,0.02744232078423858,0.09312330701727446,0.0,0.0,0.0,3.194943723678589,3.1817105333805085,3.2144742436408995,,,,,,,0.8820719197787379,0.0
early,50,0.22992669844937275,0.18680041230493658,0.27583599562506195,0.22443466378208035,0.1825825275450798,0.26922615744717665,0.3972086027264595,0.3714288156256079,0.4246070137247443,0.18661336675286289,0.16553442770801483,0.20758106871321796,0.12431296951093782,0.08277632062804922,0.17700055308778578,15.0,15.0,15.0,3.2145987367630005,3.208454055309296,3.2202561970949173,0.0009414095859335523,0.11097063684717597,0.0009149367393188612,-0.020241581648588188,0.0009414095859335523,0.0009149367393188612,0.8062061733729411,0.124012241668576
