path,prompt,melody,cond,coherence_true,coherence_shuffled_mean,coherence_shuffled_max,voiced_fraction
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_combined.wav,prompt2,ascending,combined,0.43243243243243246,0.05159705159705161,0.22972972972972974,0.43023255813953487
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_itc.wav,prompt2,ascending,itc,0.21511627906976744,0.07135306553911204,0.19767441860465115,0.5
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_probe_high.wav,prompt2,ascending,probe_0.1,0.3688888888888889,0.05737373737373737,0.18666666666666668,0.6540697674418605
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_probe_low.wav,prompt2,ascending,probe_0.03,0.33516483516483514,0.060439560439560426,0.23626373626373626,0.5290697674418605
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_probe_mid.wav,prompt2,ascending,probe_0.05,0.4,0.05454545454545454,0.20476190476190476,0.6104651162790697
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_ascending_probe_strong.wav,prompt2,ascending,probe_0.2,0.3893805309734513,0.05551086082059534,0.18584070796460178,0.6569767441860465
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_baseline.wav,prompt2,descending,baseline,0.25149700598802394,0.06804572672836147,0.2275449101796407,0.48546511627906974
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_combined.wav,prompt2,descending,combined,0.3026315789473684,0.06339712918660287,0.32894736842105265,0.4418604651162791
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_itc.wav,prompt2,descending,itc,0.2727272727272727,0.06611570247933883,0.3181818181818182,0.38372093023255816
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_probe_high.wav,prompt2,descending,probe_0.1,0.22631578947368422,0.07033492822966508,0.23684210526315788,0.5523255813953488
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_probe_low.wav,prompt2,descending,probe_0.03,0.22966507177033493,0.07003044802087866,0.3157894736842105,0.6075581395348837
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_probe_mid.wav,prompt2,descending,probe_0.05,0.26903553299492383,0.06645131518227965,0.23857868020304568,0.5726744186046512
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt2_descending_probe_strong.wav,prompt2,descending,probe_0.2,0.23036649214659685,0.06996668253212755,0.24083769633507854,0.5552325581395349
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_baseline.wav,prompt3,alternating,baseline,0.19844357976653695,0.07286876547576937,0.42412451361867703,0.8538205980066446
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_combined.wav,prompt3,alternating,combined,0.25206611570247933,0.0679939894815928,0.1859504132231405,0.8039867109634552
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_itc.wav,prompt3,alternating,itc,0.15079365079365079,0.07720057720057721,0.4166666666666667,0.8372093023255814
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_probe_high.wav,prompt3,alternating,probe_0.1,0.26,0.06727272727272728,0.26,0.8305647840531561
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_probe_low.wav,prompt3,alternating,probe_0.03,0.21610169491525424,0.07126348228043143,0.2796610169491525,0.7840531561461794
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_probe_mid.wav,prompt3,alternating,probe_0.05,0.17543859649122806,0.07496012759170653,0.19298245614035087,0.7574750830564784
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_alternating_probe_strong.wav,prompt3,alternating,probe_0.2,0.29924242424242425,0.0637052341597796,0.24621212121212122,0.8770764119601329
/home/stoneyey/Desktop/MIC/outputs/generated_audio/prompt3_ascending_baseline.wav,prompt3,ascending,baseline,0.15436241610738255,0.07687614399023796,0.23154362416107382,0.8662790697674418
