coh_true,coh_first,coh_best_const,best_const_pc,frac_F,voiced_cov,hist,slot_acc,file,method,melody,prompt
0.31797235023041476,1.0,1.0,5,1.0,0.6308139534883721,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 1.0]",prompt1_descending_probe_low.wav,probe_low,descending,1
0.2714285714285714,0.9607142857142857,0.9607142857142857,5,0.9686609686609686,0.813953488372093,"[0.0, 0.0, 0.0, 0.026, 0.006, 0.969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",prompt1_descending_probe_mid.wav,probe_mid,descending,1
0.26174496644295303,0.9463087248322147,0.9463087248322147,5,0.9565217391304348,0.8662790697674418,"[0.0, 0.0, 0.0, 0.038, 0.005, 0.957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",prompt1_descending_probe_strong.wav,probe_strong,descending,1
0.3402777777777778,0.006944444444444444,0.875,0,0.005988023952095809,0.47840531561461797,"[0.754, 0.018, 0.0, 0.132, 0.012, 0.006, 0.0, 0.072, 0.006, 0.0, 0.0, 0.0]","[nan, nan, 1.0, 0.0, 0.9487179487179487, 0.0, 0.037037037037037035]",prompt2_alternating_baseline.wav,baseline,alternating,2
0.5060240963855421,0.7108433734939759,0.7108433734939759,5,0.813953488372093,0.5514950166112956,"[0.132, 0.054, 0.0, 0.0, 0.0, 0.814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.9333333333333333]",prompt2_alternating_combined.wav,combined,alternating,2
0.20930232558139536,0.0,0.5406976744186046,0,0.0,0.5714285714285714,"[0.503, 0.053, 0.085, 0.307, 0.053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, nan, 0.0, 1.0, 0.0, 0.0]",prompt2_alternating_itc.wav,itc,alternating,2
0.3284313725490196,0.6568627450980392,0.6568627450980392,5,0.7581699346405228,0.6777408637873754,"[0.108, 0.118, 0.0, 0.0, 0.003, 0.758, 0.0, 0.013, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.125, 0.6333333333333333, 0.0, 0.7333333333333333]",prompt2_alternating_probe_high.wav,probe_high,alternating,2
0.25252525252525254,0.3181818181818182,0.3181818181818182,5,0.5104895104895105,0.6578073089700996,"[0.189, 0.164, 0.0, 0.01, 0.003, 0.51, 0.007, 0.007, 0.0, 0.003, 0.105, 0.0]","[0.5142857142857142, 0.0, 0.0, 0.0, 0.7027027027027027, 0.0, 0.17647058823529413]",prompt2_alternating_probe_low.wav,probe_low,alternating,2
0.387434554973822,0.5916230366492147,0.5916230366492147,5,0.7282229965156795,0.6345514950166113,"[0.157, 0.115, 0.0, 0.0, 0.0, 0.728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0625, 0.7222222222222222, 0.0, 0.7333333333333333]",prompt2_alternating_probe_mid.wav,probe_mid,alternating,2
0.3069306930693069,0.6534653465346535,0.6534653465346535,5,0.7658862876254181,0.6710963455149501,"[0.104, 0.13, 0.0, 0.0, 0.0, 0.766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.125, 0.5333333333333333, 0.0, 0.7142857142857143]",prompt2_alternating_probe_strong.wav,probe_strong,alternating,2
